,Brand,Color,Touchscreen,Display_size_inches,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera Available,Wi-Fi,Battery Capacity,SmartPhone,X_res,Y_res,Processor,5G,price
490,REDMI,Any Color,1,6.52,Android 12,4,32.0,50.0,1,1,5000,1,1600,720,Helio,0,6299
491,SAMSUNG,Any Color,1,6.6,Android 13,8,128.0,50.0,1,1,6000,1,2408,1080,Exynos,1,13990
492,POCO,Any Color,1,6.71,Android 12,8,64.0,50.0,1,1,5000,1,1650,720,Helio,0,7499
493,POCO,Any Color,1,6.58,Android 12,8,64.0,50.0,1,1,5000,1,2400,1080,Dimensity,1,10999
494,realme,Any Color,1,6.72,Android 13,8,128.0,108.0,1,1,5000,1,2400,1080,Snapdragon,1,16999
495,POCO,Any Color,1,6.43,Android,8,64.0,64.0,1,1,5000,1,2400,1080,Helio,0,14999
496,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,13.0,1,1,5000,1,1600,720,Qualcomm,0,8999
497,SAMSUNG,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,6000,1,2408,1080,Exynos,0,11999
498,realme,Any Color,1,6.74,Android 13,8,64.0,50.0,1,1,5000,1,2400,1080,Bionic Chip,0,9798
500,REDMI,Any Color,1,6.67,Android 13,8,128.0,50.0,1,1,5000,1,2400,1080,Snapdragon,0,14999
501,POCO,Any Color,1,6.67,Android 12,8,128.0,48.0,1,1,5000,1,2400,1080,Snapdragon,1,14999
502,OnePlus,Any Color,1,6.7,Android 13,8,128.0,50.0,1,1,5000,1,2772,1240,Bionic Chip,1,39226
503,REDMI,Any Color,1,6.52,Android 13,8,32.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,7050
506,APPLE,Any Color,1,6.1,Ios,6,256.0,12.0,1,1,3240,1,2532,1170,Bionic Chip,1,61499
507,APPLE,Blue,1,6.1,Ios,8,64.0,12.0,1,1,2815,1,2532,1170,Bionic Chip,1,48999
508,SAMSUNG,Any Color,1,6.6,Android 13,8,128.0,50.0,1,1,6000,1,1080,2408,Bionic Chip,1,14200
509,SAMSUNG,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,2408,1080,Snapdragon,1,16999
